truck_id,config,stop_sequence,stop_type,address,latitude,longitude,size,total_distance,total_time
ROUTE_1,3S+0M+0L,0,depot_start,Depot - Start,41.2565,-95.9345,depot,27.75,139.0
ROUTE_1,3S+0M+0L,1,pickup,"Omaha NE, 68108",41.2203,-95.8608,small,27.75,139.0
ROUTE_1,3S+0M+0L,2,delivery,"Omaha, NE, 68106",41.2033,-95.9778,small,27.75,139.0
ROUTE_1,3S+0M+0L,3,delivery,"Omaha NE, 68111",41.3456,-95.9017,small,27.75,139.0
ROUTE_1,3S+0M+0L,4,depot_end,Depot - Return,41.2565,-95.9345,depot,27.75,139.0
ROUTE_2,0S+0M+1L,0,depot_start,Depot - Start,41.2565,-95.9345,depot,9.15,53.0
ROUTE_2,0S+0M+1L,1,pickup,"Omaha NE, 68108",41.2203,-95.8608,large,9.15,53.0
ROUTE_2,0S+0M+1L,2,depot_end,Depot - Return,41.2565,-95.9345,depot,9.15,53.0
ROUTE_3,0S+0M+1L,0,depot_start,Depot - Start,41.2565,-95.9345,depot,7.72,49.0
ROUTE_3,0S+0M+1L,1,pickup,"Omaha, NE, 68104",41.3114,-95.9208,large,7.72,49.0
ROUTE_3,0S+0M+1L,2,depot_end,Depot - Return,41.2565,-95.9345,depot,7.72,49.0
ROUTE_4,0S+0M+1L,0,depot_start,Depot - Start,41.2565,-95.9345,depot,99.88,280.0
ROUTE_4,0S+0M+1L,1,pickup,"Lincoln, 68130",40.8136,-96.6917,large,99.88,280.0
ROUTE_4,0S+0M+1L,2,depot_end,Depot - Return,41.2565,-95.9345,depot,99.88,280.0
ROUTE_5,0S+0M+1L,0,depot_start,Depot - Start,41.2565,-95.9345,depot,16.36,71.0
ROUTE_5,0S+0M+1L,1,pickup,"Omaha Nebraska, 68127",41.1544,-96.0142,large,16.36,71.0
ROUTE_5,0S+0M+1L,2,depot_end,Depot - Return,41.2565,-95.9345,depot,16.36,71.0
ROUTE_6,0S+0M+1L,0,depot_start,Depot - Start,41.2565,-95.9345,depot,12.78,52.0
ROUTE_6,0S+0M+1L,1,delivery,"Omaha NE, 68111",41.3456,-95.9017,large,12.78,52.0
