truck_id,config,total_stops,pickups,deliveries,distance_miles,time_minutes
ROUTE_1,3S+0M+0L,3,1,2,27.75,139.0
ROUTE_2,0S+0M+1L,1,1,0,9.15,53.0
ROUTE_3,0S+0M+1L,1,1,0,7.72,49.0
ROUTE_4,0S+0M+1L,1,1,0,99.88,280.0
ROUTE_5,0S+0M+1L,1,1,0,16.36,71.0
ROUTE_6,0S+0M+1L,1,0,1,12.78,52.0
ROUTE_7,0S+0M+1L,1,0,1,16.36,61.0
ROUTE_8,0S+0M+1L,1,0,1,9.15,43.0
ROUTE_9,0S+0M+1L,1,0,1,9.15,43.0
ROUTE_10,0S+0M+1L,1,0,1,10.78,47.0
ROUTE_11,0S+0M+1L,1,0,1,12.53,51.0
ROUTE_12,0S+0M+1L,1,0,1,7.72,39.0
ROUTE_13,0S+0M+1L,1,0,1,12.53,51.0
ROUTE_14,0S+0M+1L,1,0,1,7.69,39.0
ROUTE_15,0S+0M+1L,1,0,1,18.53,66.0
ROUTE_16,0S+0M+1L,1,0,1,12.03,50.0
ROUTE_17,0S+0M+1L,1,0,1,7.72,39.0
ROUTE_18,0S+0M+1L,1,0,1,7.72,39.0
ROUTE_19,0S+0M+1L,1,0,1,9.15,43.0
ROUTE_20,0S+0M+1L,1,0,1,12.78,52.0
ROUTE_21,0S+0M+1L,1,0,1,12.53,51.0
ROUTE_22,0S+0M+1L,1,0,1,8.62,42.0
ROUTE_23,0S+0M+1L,1,0,1,7.69,39.0
